annotator,title,comment_id,comment_text,context,stance_pro,stance_con,word_count
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WHueHI3V6,"Finde ich auch zum kotzen. ""Väterlandsliebe"" ist kleingeistiger, verschrobener, zuruckgebliebener Rotz von gestern.","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",,vaterlandsliebe,13
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WILatW2U9,"@user Ok alles klar, dann ist das Wort trotzdem nicht korrekt genutzt! Und sas La d fondet er zum 🤮 aber die Steuergelder die sind super wa. 😀👍
So einer darf nicht in der Regierung sitzen denn wenn einer so eine Einstellung hat, der ist eine Gefahr für die Demokratie und das Land an sich. Wwnn er das Land nicht mag oder gar hasst dann soll er auswandern! Ganz einfache Kiste!","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,robert habeck,71
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WJ4ve0NB-,@user Erzähl doch keinen 💩 hier! So hat Habeck das mit Sicherheit nicht gemeint oder irgendetwas aus irgendeinem Märchenbich zitiert! Der meinte das schon genauso wie er es gesagt hatte! Der Typ über dir der mir geantwortet hat sagt auch schon was ganz anderes als du! Deswegen HDF!,"An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,robert habeck,48
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WJI_kb5SQ,"@user Ok alles klar, dann ist das Wort trotzdem nicht korrekt genutzt! Und das Land findet er zum 🤮 aber die Steuergelder und die Machtpositionen die sind super wa. 😀👍
So einer darf nicht in der Regierung sitzen denn wenn einer so eine Einstellung hat, der ist eine Gefahr für die Demokratie und das Land an sich. Wenn er das Land nicht mag oder gar ha*st dann soll er auswandern! Ganz einfache Kiste!","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,robert habeck,73
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WJRcPBPFu,"@user stimmt, geht noch weiter: ich konnte mit deutschland noch nie etwas anfangen und kann ich bis heute nicht. da frage ich mich, wieso will so jemand dann minister dieses landes sein? um schaden vom volk abzuwenden? ein begriff, den es laut habeck auch nicht gibt...","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,robert habeck,46
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WJbe8U6bp,Weil sie so nicht stimmt. Also hören Sie auf zu lügen.,"An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",robert habeck,,11
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WJvD3WD20,"@user Ok alles klar, dann ist das Wort trotzdem nicht korrekt genutzt! Und sas Land findet er zum 🤮 aber die Steuergelder und die Machtpositionen die sind super wa. 😀👍
So einer darf nicht in der Regierung sitzen denn wenn einer so eine Einstellung hat, der ist eine Gefahr für die Demokratie und das Land an sich. Wenn er das Land nicht mag dann soll er auswandern! Ganz einfache Kiste!","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,robert habeck,70
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WK3gCAb-e,@user dann sollte man für dieses Land auch keine Politik machen.,"An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,robert habeck,11
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WKELCNtpw,"@user Ok alles klar, dann ist das Wort trotzdem nicht korrekt genutzt! Und das Land findet er zum 🤮 aber die Steuergelder und die Machtpositionen die sind super wa. 😀👍
So einer darf nicht in der Regierung sitzen denn wenn einer so eine Einstellung hat, der ist eine Gef*hr für die Dem*kratie und das Land an sich. Wenn er das Land nicht mag oder gar ha*st dann soll er auswandern! Ganz einfache Kiste!","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,robert habeck,73
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WKWjcfcc9,"@user denn? Er steht als einziger Minister noch nicht mal auf, wenn die deutsche Nationalhymne gespielt wird im Bundestag.","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,robert habeck,19
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WKjbpRVe8,"@user Ok alles klar, dann ist das Wort trotzdem nicht korrekt genutzt! Und das Land findet er zum 🤮 aber die Steuergelder und die Machtpositionen die sind super wa. 😀👍
So einer darf nicht in der Regi*rung sitzen denn wenn einer so eine Einste*lung hat, der ist eine Gef*hr für die Dem**ratie und das Land an sich. Wenn er das La*d nicht mag oder gar ha*st dann soll er auswa*dern! Ganz einfach!","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,robert habeck,72
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WL-RDxy7B,"@user Sorry diese Plattform löscht meine Kommentare mittlerweile zum 10. mal oder so. Dein Kommentar ergibt so krass keinen Sinn! Natürlich muss er nicht diese Land lieben, dann sollte er es aber auch nicht regieren und sein Geld in Anspruch nehmen! Denn solche Leute sind brandgefährlich!","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,robert habeck,46
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WLLMVcLSN,"Weil Vaterlandsliebe hier oft diese egoistische, ausschließende und überhebliche Gestalt annimmt, wie die AfD sie vertritt. Finde ich in der Tat auch zum Kotzen.","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",,"afd, vaterlandsliebe",24
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WLUGpR8Hn,"@user na dann sprich, bzw schreib oder kommt da noch Schlimmeres zutage?
Im übrigen: das Lügen überlass ich der absoluten Negativauslese an sogenannten Politikern die dieses Land in den Abgrund regieren und ihren Hofberichterstattern, die sind darin geübt!","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",,oeffentlich-rechtlicher rundfunk,38
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WLntzExn_,"@user auch total hohl. Politik ist der Gedanke, Interessen von verschiedenen Menschen zu vertreten. Warum genau muss man etwas lieben? Fang an rational und objektiv zu DENKEN!","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",,vaterlandsliebe,27
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WLo0EVO9K,Weil der Begriff Vaterlandsliebe dumm ist im 21. JH,"An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",,vaterlandsliebe,9
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WMWzNW2wi,"@user gehst du nun auch auf meine Aussage ein, warum man ein Land lieben MUSS, nur weil man durch Zufall dort geboren wurde? Oder wird da wieder geschwiegen, weil man die Realität aufzeigen konnte und dir die Argumente fehlen?","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",,vaterlandsliebe,39
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WMY_Rn-uj,"Entschuldige. Stell dir mal vor, vor 10 Jahren sagte jemand in der Klasse, er LIEBE sein Vaterland. Da hätten sich die anderen gefragt, ob der Typ nicht einem Landser-Heft entsprungen ist oder in der Zeitmaschine falsch abgebogen. Ich liebe meine Frau, meine Kinder, meinen Vater. Ich freue mich jeden Tag in einem Land zu leben, das eine Gewaltenteilung kennt und auf dem Boden der demokratischen Grundordnung steht. Ich stehe zu meinem Land, aber ich habe auch schon andere tolle Länder kennen gelernt. Da brauche ich kein schwülstiges Patrioten-Gefasel von Leuten, die unser System zerstören wollen. Respekt für Leute, die sich für unser Land einsetzen: Feuerwehr, Pfleger, Handwerker ... für die Hater in Schnellroda, die eine Schrift nach der anderen publizieren, wie man die bürgerliche Mitte täuscht - dafür habe ich keinen Respekt.","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",,"rechtsextremismus, vaterlandsliebe",132
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WMjxDU4si,"Die schlimmsten Verbrechen wurden aus blinder Vaterlandsliebe und in weiterer Folge bedingungslosem Gehorsam begannen. Wer das nicht versteht, hat sich nicht wirklich mit der Geschichte unserer Zivilisation befasst. Also hört mir doch auf mit diesem Begriff. Der Rest der Welt lacht doch über uns und unsere tollen, geschichtsträchtigen europäischen Nationalstaaten die für sich allein keinerlei wirkliche Bedeutung für das Weltgeschehen haben aber das ist jetzt natürlich off topic. Das wirklich Witzige ist ja, dass ein Teil der AFD euer Deutschland nicht mal für einen richtigen Staat sondern eher für ein künstliches Gebilde hält. Wie ist das mit der Vaterlandsliebe vereinbar? Welches Deutschlands liebt man dann? Das vor 1918 oder 1945?","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",,"afd, vaterlandsliebe",110
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WN-4sQ-cT,"Dieses Zitat spiegelt doch die Politik von Herrn Habeck wieder. Warum will er die Bürger immer mehr bluten lassen, denn etwas anderes ist es nicht, wenn er durch seine Maßnahmen die Preise für grundlegende Dinge immer weiter hochtreibt, wenn er immer mehr Geld für seine utopischen Projekte fordert, wenn er die Landwirtschaft in den Ruin treibt, da ja die Discounter den Landwirten nicht mehr Geld zahlen wollen für die Produkte. Die Außenministerin, Frau Baerbock, verschleudert unsere Steuergelder in aller Welt für für Projekte, in denen ich und auch sehr viele andere Bürger keinen Nutzen sehen, die diese Länder irgendwie wirtschaftlich wachsen lassen. Sie schädigt auch das Ansehen unseres Landes in der Welt, wie in dem Fox-Interview zu Chinas Präsindent, um mal ein Beispiel zu bringen. Sie gibt es ja auch öffentlich zu, dass sie gegen den Willen ihrer Wähler handelt (Egal was meine Wähler in Deutschland denken). Was muss man denn noch alles anführen um die Aussage von Frau Weidel zu beweisen?","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?","afd, vaterlandsliebe",robert habeck,162
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WO9s-mZo_,"@user ich finde, wenn man sowas wie von Habeck vorgeheult, dann versuche ich irgendwo anders zu leben und besetz nicht das Amt eines Ministers. Klar, Geld stinkt nicht und solche Summen monatlich einzustreichen, würde jeder tun. Ob mit oder ohne Hass.","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,robert habeck,41
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WPaOij-qj,"@user, muss man nicht. Aber dann sollte man eher auswandern anstatt Vizekanzler zu werden.","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,robert habeck,14
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WR49Mgz6o,"@user was ist das für ein Schwachsinn? Du MUSST etwas lieben, um Minister zu werden? Nirgendwo auf der Welt ist das so, IHR wollt es aber in Deutschland? Warum genau MUSS man das Land lieben? Man muss mit dem Land sympathisieren, sicherlich. Man muss für sein Land einstehen. Aber man muss es sicherlich nicht lieben.","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",,vaterlandsliebe,55
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WS61wQve6,"@user Also ich würde Sie nicht einstellen. Denn nur was man gerne macht, macht man gut. Und ja mann sollte schon Positiv eingestellt sein zu den Leuten mit dessen Steuern ich arbeite.. Rational denken Sie nicht, nur Ideologisch. Grüsse aus einer direkten Demokratie die Ihr in D nie sein werdet.","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,,50
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WSHC5NPpe,@user wandere ich aus und geh nicht in die Politik.Das ist definitiv deutschlandfeindlich,"An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,robert habeck,13
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WVnbppZQP,"@user du deine Eltern? Du wurdest doch nur zufällig in diese Familie geboren. Die „Liebe“ zum Land ist viel mehr Dankbarkeit dafür, was dieses Land für dich getan hat, sie ist das positive Zugehörigkeitsgefühl zu diesem Land (welches unabdingbar für eine funktionierende Gesellschaft, v.a. für eine demokratische Gesellschaft ist) und sie ist auch der Leistungswille für dieses Land, um es zu verbessern und somit den Mitmenschen und den Nachkommen ein besseres Leben zu ermöglichen. Das ist es für was die „Vaterlandsliebe“ symbolisch steht, und ohne sie kann eine Gesellschaft nicht langfristig funktionieren. Und v.a. in Deutschland sieht man die immer stärker werdenden Auswirkungen, die der Mangel an dieser Vaterlandsliebe verursacht.","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,,110
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WVqblH8Lz,"Warum soll es einem kalt den Rücken runterlaufen? Warum sollte man sein Vaterland lieben? Oder noch besser...stolz drauf sein was frühere Generationen geleistet haben...letztlich ist es einfach nur Glück ob man hier oder woanders geboren...ich kann auf eine eigene Leistung stolz...aber auf ein Land, eine Nation? Ne spüre ich nicht","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",,vaterlandsliebe,50
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WXg-2hjg3,Steht auch noch da. Schon komisch,"An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,robert habeck,6
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-W_7oC94FF,"Weil er nicht wirklich mehr ein Rückgrat hat - für die, die nicht in der Schafherde der Regierung umher irren!","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",,markus lanz,20
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-W_PWq9Z15,"@user Deine Wortklauberei ist Schwachsinn. Wer mit dem Land ""nichts anfangen kann"", der sollte nicht Minister dieses Landes werden. Es geht nicht um ""lieben"".","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,robert habeck,24
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-W_RmrR-oE,"@user Antifa Speech, stellen Sie die gleichen Regel auch bei Ihren Goldstücken auf. KEINE agumente mehr ? Desweitern bin ich Schweizer wir haben 4 Sprachen. Also wohl eher ein Linksfaschist denn Sie darstellen.","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",,migration,33
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-Wa-qJJbiZ,"...vielleicht weiß er ja auch nicht, was Vaterlandsliebe ist?!","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,markus lanz,9
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WaKSaVpQH,"@user und das sagte er, dass er mit diesem Land nichts anfangen kann? Wer betreibt hier Wortklauberei?","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",robert habeck,,17
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WafyOuM2O,"Das gesante Buch basiert darauf, dass Habeck früher Vaterlandliebe abgelehnt hat und sie heute für essenziell betrachtet.
Ein paar Sätze weiter steht das sogar in dem Buch. 🤦🏻♀️","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?","robert habeck, vaterlandsliebe",,28
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WaqiNgDZ5,"Nein, der Satz sagt nicht alles. Wenn einzelne Sätze „alles“ sagen würden, müsste man die AfD verbieten, was ich für falsch hielte. Taten sagen z.B. mehr als Sätze. Habeck zeigt durch seinen täglichen Einsatz für Deutschland, dass er das Land offensichtlich nicht zum Kotzen findet. Und das gilt unabhängig davon, ob man den einzelnen Entscheidungen zustimmt oder nicht.@user","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?","afd, robert habeck",,58
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WawznhHaK,"@user Du musst garnichts. Aber wenn man ein Politiker ist, muss man sich nicht wundern wenn Leute diesen Satz (zu Recht) aufgreifen und gegen einen verwenden, es ist eine recht befremdliche Aussage für die meisten Menschen - was ja auch vollkommen Ok ist, man kann diese Meinung haben. Das Problem ist nur dann dass man sich sehr unglaubwürdig macht wenn man danach noch mal was von Patriotismus labert oder an den Patriotismus der Bevölkerung versucht zu appellieren.","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,robert habeck,77
ai,Chrupalla: Keine Extremisten in AfD | Markus Lanz vom 06. Februar 2024,UgwwQLSq8AqfIG6dfOp4AaABAg.A-WB04PK1CjA-WazKWi5BX,"@user Ja. Das mittlerweile berühmte Habeck Zitat geht genau so:
""Vaterlandsliebe fand ich stets zum Kotzen. Ich wusste mit Deutschland noch nie etwas anzufangen und weiß es bis heute nicht.“","An Lanz: Zitat von Habeck: ""Vaterlandsliebe fand ich stets zum Kotzen"" warum läuft es ihm da nicht kalt den Rücken runter?",vaterlandsliebe,robert habeck,30
